SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz300783,20230811,20230810,4.01,4.01,20.46,807.54588183
sz300785,20230811,20230810,1.98855243,1.98855243,24.52,807.54588183
sz300787,20230811,20230810,2.29495898,2.29495898,18.06,807.54588183
sz300788,20230811,20230810,1.90151515,1.90151515,29.85,807.54588183
sz300800,20230811,20230810,2.384,2.384,13.28,807.54588183
sz300807,20230811,20230810,0.67851,0.67851,29.38,807.54588183
sz300809,20230811,20230810,2.52176,2.52176,21.08,807.54588183
sz300810,20230811,20230810,1.1805,1.1805,19.82,807.54588183
sz300812,20230811,20230810,1.40257029,1.40257029,21.62,807.54588183
sz300813,20230811,20230810,1.08678859,1.08678859,27.14,807.54588183
sz300814,20230811,20230810,1.75796,1.75796,26.45,807.54588183
sz300816,20230811,20230810,0.8,0.8,25.89,807.54588183
sz300817,20230811,20230810,1.74638592,1.74638592,15.2,807.54588183
sz300820,20230811,20230810,2.16114411,2.16114411,70.2,807.54588183
sz300826,20230811,20230810,1.456,1.456,14.62,807.54588183
sz300828,20230811,20230810,1.659,1.659,14.57,807.54588183
sz300835,20230811,20230810,1.20139,1.20139,29.4,807.54588183
sz300839,20230811,20230810,2.45460379,2.45460379,11.78,807.54588183
sz300844,20230811,20230810,0.6464,0.6464,48.32,807.54588183
sz300846,20230811,20230810,4.66822836,4.66822836,13.37,807.54588183
sz300850,20230811,20230810,3.29709084,3.29709084,33.27,807.54588183
sz300852,20230811,20230810,1.0193076,1.0193076,37.88,807.54588183
sz300857,20230811,20230810,2.43801046,2.43801046,24.96,807.54588183
sz300858,20230811,20230810,2.63495118,2.63495118,18.21,807.54588183
sz300864,20230811,20230810,1.5504,1.5504,22.71,807.54588183
sz300868,20230811,20230810,1.28,1.28,19.48,807.54588183
sz300869,20230811,20230810,4.01802664,4.01802664,23.38,807.54588183
sz300872,20230811,20230810,4.04427654,4.04427654,15.99,807.54588183
sz300875,20230811,20230810,0.99834751,0.99834751,35.7,807.54588183
sz300879,20230811,20230810,1.6,1.6,17.45,807.54588183
sz300882,20230811,20230810,2.0442942,2.0442942,23.58,807.54588183
sz300884,20230811,20230810,2.52,2.52,11.32,807.54588183
sz300890,20230811,20230810,1.07839341,1.07839341,39.37,807.54588183
sz300892,20230811,20230810,1,1,28.9,807.54588183
sz300893,20230811,20230810,2.256,2.256,22.34,807.54588183
sz300894,20230811,20230810,4.08769577,4.08769577,23.64,807.54588183
sz300895,20230811,20230810,1.40800657,1.40800657,32.7,807.54588183
sz300896,20230811,20230810,2.1636,2.1636,450.81,807.54588183
sz300901,20230811,20230810,2.4,2.4,10.51,807.54588183
sz300911,20230811,20230810,1.073982,1.073982,37.92,807.54588183
sz300912,20230811,20230810,1.15022,1.15022,19.09,807.54588183
sz300913,20230811,20230810,2.58169548,2.58169548,34.26,807.54588183
sz300916,20230811,20230810,1.44482562,1.44482562,27.7,807.54588183
