SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz300380,20230727,20230726,1.3976105,1.3976105,17.87,806.98694245
sz300383,20230727,20230726,17.97592847,17.97592847,10.17,806.98694245
sz300384,20230727,20230726,3.19007265,3.19007265,17.22,806.98694245
sz300389,20230727,20230726,3.63427298,3.63427298,16.19,806.98694245
sz300390,20230727,20230726,8.37537178,8.37537178,31.68,806.98694245
sz300394,20230727,20230726,3.94758977,3.94758977,94.06,806.98694245
sz300395,20230727,20230726,5.16014473,5.16014473,42.19,806.98694245
sz300396,20230727,20230726,2.748665,2.748665,28.2,806.98694245
sz300399,20230727,20230726,1.976,1.976,12.77,806.98694245
sz300406,20230727,20230726,5.88445404,5.88445404,21.09,806.98694245
sz300413,20230727,20230726,18.70720815,18.70720815,34.78,806.98694245
sz300418,20230727,20230726,11.95621204,11.95621204,37.2,806.98694245
sz300421,20230727,20230726,2.97102484,2.97102484,10.69,806.98694245
sz300423,20230727,20230726,4.9751129,4.9751129,10.79,806.98694245
sz300424,20230727,20230726,2.398952,2.398952,13.62,806.98694245
sz300426,20230727,20230726,4.090046,4.090046,12.8,806.98694245
sz300434,20230727,20230726,4.01743872,4.01743872,12.54,806.98694245
sz300442,20230727,20230726,17.16961649,17.16961649,28.06,806.98694245
sz300443,20230727,20230726,3.25453898,3.25453898,34.11,806.98694245
sz300446,20230727,20230726,2.0262,2.0262,13.6,806.98694245
sz300447,20230727,20230726,3.12310375,3.12310375,17.11,806.98694245
sz300450,20230727,20230726,15.66163034,15.66163034,33.47,806.98694245
sz300452,20230727,20230726,2.34460291,2.34460291,15.51,806.98694245
sz300456,20230727,20230726,7.33497134,7.33497134,26.35,806.98694245
sz300457,20230727,20230726,6.49537963,6.49537963,27.69,806.98694245
sz300458,20230727,20230726,6.31882692,6.31882692,28.95,806.98694245
sz300460,20230727,20230726,2.80804251,2.80804251,11.64,806.98694245
sz300461,20230727,20230726,1.55741692,1.55741692,19.94,806.98694245
sz300462,20230727,20230726,1.88265025,1.88265025,11.47,806.98694245
sz300467,20230727,20230726,2.03204897,2.03204897,15.24,806.98694245
sz300468,20230727,20230726,5.30649275,5.30649275,10.32,806.98694245
sz300473,20230727,20230726,1.50447992,1.50447992,17.49,806.98694245
sz300474,20230727,20230726,4.55273453,4.55273453,77.97,806.98694245
sz300475,20230727,20230726,4.57565767,4.57565767,37.08,806.98694245
sz300476,20230727,20230726,8.62688641,8.62688641,24.16,806.98694245
sz300480,20230727,20230726,3.52070209,3.52070209,22.42,806.98694245
sz300481,20230727,20230726,2.96382447,2.96382447,20,806.98694245
sz300484,20230727,20230726,2.086159,2.086159,12.83,806.98694245
sz300490,20230727,20230726,3.96212074,3.96212074,14.97,806.98694245
sz300494,20230727,20230726,4.88998076,4.88998076,16.31,806.98694245
sz300496,20230727,20230726,4.57478344,4.57478344,88.2,806.98694245
sz300497,20230727,20230726,5.50004834,5.50004834,13.59,806.98694245
sz300499,20230727,20230726,3.08620124,3.08620124,14.71,806.98694245
sz300500,20230727,20230726,1.73974869,1.73974869,20.17,806.98694245
sz300501,20230727,20230726,1.93531505,1.93531505,16.09,806.98694245
sz300502,20230727,20230726,7.09919026,7.09919026,55,806.98694245
sz300504,20230727,20230726,2.7256688,2.7256688,17.48,806.98694245
sz300505,20230727,20230726,2.24691099,2.24691099,20.8,806.98694245
sz300513,20230727,20230726,3.13691155,3.13691155,13.35,806.98694245
sz300514,20230727,20230726,2,2,12.55,806.98694245
sz300515,20230727,20230726,2.058005,2.058005,13.67,806.98694245
sz300521,20230727,20230726,1.44,1.44,13.63,806.98694245
sz300522,20230727,20230726,3.24168726,3.24168726,12.83,806.98694245
sz300525,20230727,20230726,7.501249,7.501249,15.98,806.98694245
sz300540,20230727,20230726,1.60691993,1.60691993,25.21,806.98694245
sz300541,20230727,20230726,3.08429398,3.08429398,13.31,806.98694245
sz300545,20230727,20230726,1.77744815,1.77744815,24.39,806.98694245
sz300546,20230727,20230726,1.85524691,1.85524691,17.88,806.98694245
sz300548,20230727,20230726,2.86020618,2.86020618,29.13,806.98694245
sz300549,20230727,20230726,1.3334,1.3334,22.54,806.98694245
sz300551,20230727,20230726,3.45752939,3.45752939,20.56,806.98694245
sz300552,20230727,20230726,2.13133112,2.13133112,19.8,806.98694245
sz300561,20230727,20230726,3.28107975,3.28107975,11.85,806.98694245
sz300563,20230727,20230726,1.78192526,1.78192526,14.32,806.98694245
sz300565,20230727,20230726,2.08,2.08,17.59,806.98694245
sz300566,20230727,20230726,2.6374155,2.6374155,17.28,806.98694245
sz300568,20230727,20230726,12.81682969,12.81682969,16.64,806.98694245
sz300571,20230727,20230726,1.39528294,1.39528294,33.95,806.98694245
sz300572,20230727,20230726,2.28988812,2.28988812,19.1,806.98694245
sz300575,20230727,20230726,4.647564,4.647564,11.37,806.98694245
sz300578,20230727,20230726,1.9922974,1.9922974,20.08,806.98694245
sz300579,20230727,20230726,2.7,2.7,32.9,806.98694245
sz300582,20230727,20230726,2.98685386,2.98685386,12.91,806.98694245
sz300584,20230727,20230726,1.2,1.2,23.34,806.98694245
sz300586,20230727,20230726,7.11216645,7.11216645,11.85,806.98694245
sz300590,20230727,20230726,4.5784826,4.5784826,11.13,806.98694245
sz300592,20230727,20230726,2.89175621,2.89175621,26.75,806.98694245
sz300594,20230727,20230726,0.91678325,0.91678325,22.58,806.98694245
sz300596,20230727,20230726,2.29619667,2.29619667,39.6,806.98694245
sz300600,20230727,20230726,2.9423448,2.9423448,12.29,806.98694245
sz300603,20230727,20230726,4.64798231,4.64798231,11.47,806.98694245
sz300604,20230727,20230726,6.148149,6.148149,42.68,806.98694245
sz300606,20230727,20230726,1.401287,1.401287,18.62,806.98694245
sz300609,20230727,20230726,1.2243949,1.2243949,25.36,806.98694245
sz300612,20230727,20230726,1.59039975,1.59039975,20.43,806.98694245
sz300615,20230727,20230726,1.906282,1.906282,15.76,806.98694245
sz300616,20230727,20230726,1.9786708,1.9786708,20.87,806.98694245
sz300617,20230727,20230726,1.67996636,1.67996636,39.08,806.98694245
sz300618,20230727,20230726,3.09617139,3.09617139,33.73,806.98694245
sz300620,20230727,20230726,2.46121822,2.46121822,49.75,806.98694245
sz300623,20230727,20230726,7.36389956,7.36389956,18.61,806.98694245
sz300624,20230727,20230726,1.37700957,1.37700957,103.2,806.98694245
sz300628,20230727,20230726,12.64370484,12.64370484,39.68,806.98694245
sz300634,20230727,20230726,4.4765325,4.4765325,21.18,806.98694245
