SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh603187,20230814,20230811,3.86446461,3.86446461,17.77,788.67377025
sh603189,20230814,20230811,2.69548349,2.69548349,13.96,788.67377025
sh603190,20230814,20230811,1.2,1.2,28.37,788.67377025
sh603191,20230814,20230811,3.33167407,3.33167407,18.24,788.67377025
sh603196,20230814,20230811,2.38680652,2.38680652,18.65,788.67377025
sh603199,20230814,20230811,1.1068,1.1068,31.73,788.67377025
sh603206,20230814,20230811,3.05199988,3.05199988,16.83,788.67377025
sh603208,20230814,20230811,1.77172674,1.77172674,38.85,788.67377025
sh603211,20230814,20230811,2.71808,2.71808,14.39,788.67377025
sh603212,20230814,20230811,4.40048736,4.40048736,18.01,788.67377025
sh603218,20230814,20230811,10.3102,10.3102,16.89,788.67377025
sh603220,20230814,20230811,3.36368576,3.36368576,16.15,788.67377025
sh603229,20230814,20230811,5.93069389,5.93069389,14.18,788.67377025
sh603230,20230814,20230811,3.53523,3.53523,12.3,788.67377025
sh603232,20230814,20230811,2.33308566,2.33308566,14.07,788.67377025
sh603236,20230814,20230811,2.64574906,2.64574906,51.25,788.67377025
sh603237,20230814,20230811,1.438402,1.438402,28.75,788.67377025
sh603258,20230814,20230811,2.447681,2.447681,32.4,788.67377025
sh603259,20230814,20230811,25.65904495,25.65904495,78.6,788.67377025
sh603260,20230814,20230811,11.82206941,11.82206941,67.53,788.67377025
sh603267,20230814,20230811,2.321168,2.321168,59.22,788.67377025
sh603278,20230814,20230811,2.89813114,2.89813114,12,788.67377025
sh603280,20230814,20230811,1.08406667,1.08406667,23.6,788.67377025
sh603281,20230814,20230811,3.73333334,3.73333334,30.3,788.67377025
sh603286,20230814,20230811,0.88076,0.88076,17.38,788.67377025
sh603288,20230814,20230811,55.60600544,55.60600544,44.33,788.67377025
sh603290,20230814,20230811,1.7080118,1.7080118,205.62,788.67377025
sh603291,20230814,20230811,4.23220604,4.23220604,17.34,788.67377025
